invite_id,invite_sent_at,invite_carrier,carrier_response,response_date,is_sold,actual_annual_premium
32531,2020-05-11 20:05:33.983 UTC,Guardian,bid_submitted,2020-05-27,FALSE,11295.36
32533,2020-05-11 20:05:34.631 UTC,UnitedHealthcare,bid_submitted,2020-05-13,FALSE,10542.36
32537,2020-05-11 20:05:35.961 UTC,Sun Life,decline_to_bid,2020-05-26,FALSE,
32540,2020-05-11 20:05:36.972 UTC,Blue Cross Blue Shield,decline_to_bid,2021-01-14,FALSE,
32534,2020-05-11 20:05:34.962 UTC,Lincoln,bid_submitted,2020-05-13,FALSE,5208
32535,2020-05-11 20:05:35.293 UTC,Principal,bid_submitted,2020-05-26,FALSE,5107.2
32536,2020-05-11 20:05:35.628 UTC,MetLife,bid_submitted,2020-05-18,FALSE,5107.2
32538,2020-05-11 20:05:36.315 UTC,Dearborn Group,bid_submitted,2020-05-27,TRUE,5107.2
32539,2020-05-11 20:05:36.646 UTC,Guardian,bid_submitted,2020-05-27,FALSE,5107.2
32541,2020-05-11 20:05:37.327 UTC,UnitedHealthcare,bid_submitted,2020-05-13,FALSE,3274.8
32499,2020-05-11 20:05:19.239 UTC,Sun Life,decline_to_bid,2020-06-01,FALSE,
32500,2020-05-11 20:05:20.112 UTC,Dearborn Group,decline_to_bid,2020-05-27,FALSE,
32496,2020-05-11 20:05:16.657 UTC,Lincoln,bid_submitted,2020-05-28,FALSE,33602.88
32497,2020-05-11 20:05:17.533 UTC,Principal,bid_submitted,2020-05-28,FALSE,32709.72
32498,2020-05-11 20:05:18.382 UTC,MetLife,bid_submitted,2020-05-28,FALSE,37433.64
32501,2020-05-11 20:05:20.994 UTC,Guardian,bid_submitted,2020-05-27,FALSE,31160.52
32502,2020-05-11 20:05:21.865 UTC,Blue Cross Blue Shield,bid_submitted,2021-01-14,TRUE,34466.4
59248,2020-10-06 15:37:00.731 UTC,Unum,decline_to_bid,2020-10-16,FALSE,
61796,2020-11-06 19:43:30.969 UTC,Lincoln,bid_submitted,2020-12-15,FALSE,512901.72
59244,2020-10-06 15:36:59.565 UTC,Prudential,bid_submitted,2020-10-14,FALSE,359061.24
59245,2020-10-06 15:36:59.847 UTC,OneAmerica,bid_submitted,2020-10-20,FALSE,512901.72
59246,2020-10-06 15:37:00.149 UTC,Standard,bid_submitted,2020-10-15,FALSE,512901.72
59247,2020-10-06 15:37:00.438 UTC,Hartford,bid_submitted,2020-10-23,FALSE,384718.92
61795,2020-11-06 19:43:30.175 UTC,Lincoln,bid_submitted,2020-12-15,FALSE,
59239,2020-10-06 15:36:53.553 UTC,Prudential,bid_submitted,2020-10-25,FALSE,207755.28
59240,2020-10-06 15:36:54.958 UTC,OneAmerica,bid_submitted,2020-10-20,FALSE,221397.48
59241,2020-10-06 15:36:56.295 UTC,Standard,bid_submitted,2020-10-15,FALSE,214693.68
59242,2020-10-06 15:36:57.558 UTC,Hartford,bid_submitted,2020-10-23,FALSE,214555.2
59243,2020-10-06 15:36:58.798 UTC,Unum,bid_submitted,2021-01-08,FALSE,
61794,2020-11-06 19:43:29.175 UTC,Lincoln,bid_submitted,2020-12-15,FALSE,109042.08
59234,2020-10-06 15:36:49.668 UTC,Prudential,bid_submitted,2020-10-25,FALSE,73757.04
59235,2020-10-06 15:36:50.387 UTC,OneAmerica,bid_submitted,2020-10-27,FALSE,109042.08
59236,2020-10-06 15:36:51.098 UTC,Standard,bid_submitted,2020-10-26,FALSE,81674.04
59237,2020-10-06 15:36:51.802 UTC,Hartford,bid_submitted,2020-10-23,FALSE,95139.84
59238,2020-10-06 15:36:52.514 UTC,Unum,bid_submitted,2021-01-08,FALSE,100491.48
59253,2020-10-06 15:37:04.252 UTC,Unum,decline_to_bid,2020-10-16,FALSE,
61797,2020-11-06 19:43:31.431 UTC,Lincoln,bid_submitted,2020-12-15,FALSE,275546.76
59249,2020-10-06 15:37:01.206 UTC,Prudential,bid_submitted,2020-10-25,FALSE,205497.72
59250,2020-10-06 15:37:01.967 UTC,OneAmerica,bid_submitted,2020-10-20,FALSE,276347.04
59251,2020-10-06 15:37:02.727 UTC,Standard,bid_submitted,2020-10-15,FALSE,276347.04
59252,2020-10-06 15:37:03.470 UTC,Hartford,bid_submitted,2020-10-23,FALSE,207317.88
59433,2020-10-06 20:11:53.868 UTC,Guardian,decline_to_bid,2020-11-05,FALSE,
59429,2020-10-06 20:11:52.775 UTC,Principal,bid_submitted,2020-10-13,FALSE,
59431,2020-10-06 20:11:53.321 UTC,Lincoln,bid_submitted,2020-10-21,FALSE,
59434,2020-10-06 20:11:54.142 UTC,MetLife,bid_submitted,2020-10-29,FALSE,
59435,2020-10-06 20:11:54.419 UTC,Unum,bid_submitted,2020-10-16,FALSE,
59428,2020-10-06 20:11:52.506 UTC,Anthem,no_response,,FALSE,
59430,2020-10-06 20:11:53.043 UTC,UnitedHealthcare,no_response,,FALSE,
59432,2020-10-06 20:11:53.597 UTC,Medical Mutual,no_response,,FALSE,
59425,2020-10-06 20:11:51.767 UTC,Guardian,decline_to_bid,2020-11-05,FALSE,
59420,2020-10-06 20:11:50.561 UTC,Anthem,bid_submitted,2020-11-04,TRUE,6673.8
59421,2020-10-06 20:11:50.809 UTC,Principal,bid_submitted,2020-10-13,FALSE,5175.6
59423,2020-10-06 20:11:51.282 UTC,Lincoln,bid_submitted,2020-10-21,FALSE,6129
59426,2020-10-06 20:11:52.013 UTC,MetLife,bid_submitted,2020-10-29,FALSE,4331.16
59427,2020-10-06 20:11:52.257 UTC,Unum,bid_submitted,2020-10-16,FALSE,5175.6
59422,2020-10-06 20:11:51.041 UTC,UnitedHealthcare,no_response,,FALSE,
59424,2020-10-06 20:11:51.518 UTC,Medical Mutual,no_response,,FALSE,
59441,2020-10-06 20:11:56.782 UTC,Guardian,decline_to_bid,2020-11-05,FALSE,
59437,2020-10-06 20:11:55.180 UTC,Principal,bid_submitted,2020-11-03,FALSE,4410.24
59439,2020-10-06 20:11:55.979 UTC,Lincoln,bid_submitted,2020-10-21,FALSE,3640.08
59442,2020-10-06 20:11:57.183 UTC,MetLife,bid_submitted,2020-10-29,FALSE,6274.8
59443,2020-10-06 20:11:57.592 UTC,Unum,bid_submitted,2020-10-16,FALSE,4595.88
59436,2020-10-06 20:11:54.773 UTC,Anthem,no_response,,FALSE,
59438,2020-10-06 20:11:55.578 UTC,UnitedHealthcare,no_response,,FALSE,
59440,2020-10-06 20:11:56.374 UTC,Medical Mutual,no_response,,FALSE,
59544,2020-10-07 13:49:38.341 UTC,Lincoln,bid_submitted,2020-10-16,FALSE,
59545,2020-10-07 13:49:38.666 UTC,Guardian,bid_submitted,2020-11-16,FALSE,
59546,2020-10-07 13:49:38.971 UTC,MetLife,bid_submitted,2020-10-28,FALSE,
59547,2020-10-07 13:49:39.297 UTC,Unum,bid_submitted,2020-12-28,TRUE,
59548,2020-10-07 13:49:39.607 UTC,Lincoln,bid_submitted,2020-10-16,FALSE,3906
59549,2020-10-07 13:49:39.901 UTC,Guardian,bid_submitted,2020-10-20,FALSE,3627
59550,2020-10-07 13:49:40.199 UTC,MetLife,bid_submitted,2020-10-28,FALSE,3682.8
59551,2020-10-07 13:49:40.489 UTC,Unum,bid_submitted,2020-12-28,TRUE,3710.76
59552,2020-10-07 13:49:40.943 UTC,Lincoln,bid_submitted,2020-10-16,FALSE,27290.28
59553,2020-10-07 13:49:41.686 UTC,Guardian,bid_submitted,2020-11-16,FALSE,30409.2
59554,2020-10-07 13:49:42.399 UTC,MetLife,bid_submitted,2020-10-28,FALSE,24795.24
59555,2020-10-07 13:49:43.148 UTC,Unum,bid_submitted,2020-12-28,TRUE,26510.64
57909,2020-09-28 14:10:19.346 UTC,Guardian,bid_submitted,2020-10-06,TRUE,
57912,2020-09-28 14:10:21.657 UTC,Guardian,bid_submitted,2020-10-06,TRUE,
57921,2020-09-28 14:10:27.450 UTC,Guardian,bid_submitted,2020-10-06,TRUE,
57906,2020-09-28 14:10:17.168 UTC,Guardian,bid_submitted,2020-10-06,TRUE,
57918,2020-09-28 14:10:25.939 UTC,Guardian,bid_submitted,2020-10-06,TRUE,
57915,2020-09-28 14:10:24.135 UTC,Guardian,bid_submitted,2020-10-06,TRUE,
57920,2020-09-28 14:10:26.692 UTC,Principal,no_response,,FALSE,
57908,2020-09-28 14:10:18.506 UTC,Principal,no_response,,FALSE,
57905,2020-09-28 14:10:16.542 UTC,Principal,no_response,,FALSE,
57911,2020-09-28 14:10:20.930 UTC,Principal,no_response,,FALSE,
57917,2020-09-28 14:10:25.663 UTC,Principal,no_response,,FALSE,
57914,2020-09-28 14:10:23.234 UTC,Principal,no_response,,FALSE,
57916,2020-09-28 14:10:25.040 UTC,Sun Life,no_response,,FALSE,
57922,2020-09-28 14:10:28.231 UTC,Sun Life,no_response,,FALSE,
57913,2020-09-28 14:10:22.417 UTC,Sun Life,no_response,,FALSE,
57907,2020-09-28 14:10:17.793 UTC,Sun Life,no_response,,FALSE,
57910,2020-09-28 14:10:20.176 UTC,Sun Life,no_response,,FALSE,
57919,2020-09-28 14:10:26.221 UTC,Sun Life,no_response,,FALSE,
47251,2020-08-13 16:11:35.583 UTC,Mutual Of Omaha,decline_to_bid,2020-09-02,FALSE,
47253,2020-08-13 16:11:36.605 UTC,Sun Life,decline_to_bid,2020-08-25,FALSE,
47246,2020-08-13 16:11:33.340 UTC,Principal,bid_submitted,2020-09-09,FALSE,23201.4
47247,2020-08-13 16:11:33.749 UTC,Blue Cross Blue Shield,bid_submitted,2020-08-18,FALSE,23475.96
47248,2020-08-13 16:11:34.185 UTC,Lincoln,bid_submitted,2020-09-04,FALSE,29750.76
47249,2020-08-13 16:11:34.598 UTC,Guardian,bid_submitted,2020-09-04,TRUE,23389.2
47250,2020-08-13 16:11:35.012 UTC,MetLife,bid_submitted,2020-08-31,FALSE,20981.04
47252,2020-08-13 16:11:36.163 UTC,Standard,bid_submitted,2020-08-19,FALSE,22982.4
47243,2020-08-13 16:11:31.059 UTC,Mutual Of Omaha,decline_to_bid,2020-09-02,FALSE,
47237,2020-08-13 16:11:26.154 UTC,Principal,bid_submitted,2020-09-09,FALSE,106002.96
47238,2020-08-13 16:11:26.952 UTC,Blue Cross Blue Shield,bid_submitted,2020-08-26,FALSE,110974.56
47239,2020-08-13 16:11:27.867 UTC,Lincoln,bid_submitted,2020-09-04,FALSE,104149.68
47240,2020-08-13 16:11:28.671 UTC,Delta Dental,bid_submitted,2020-09-02,FALSE,109874.16
47241,2020-08-13 16:11:29.428 UTC,Guardian,bid_submitted,2020-11-09,TRUE,107622.48
47242,2020-08-13 16:11:30.280 UTC,MetLife,bid_submitted,2020-08-31,FALSE,94121.52
47244,2020-08-13 16:11:31.863 UTC,Standard,bid_submitted,2020-08-19,FALSE,92810.64
47245,2020-08-13 16:11:32.760 UTC,Sun Life,bid_submitted,2020-08-25,FALSE,101027.76
52845,2020-09-03 16:35:40.862 UTC,Principal,bid_submitted,2020-09-21,FALSE,6219.24
52846,2020-09-03 16:35:42.003 UTC,UnitedHealthcare,bid_submitted,2020-09-25,FALSE,5653.8
52848,2020-09-03 16:35:44.207 UTC,Lincoln,bid_submitted,2020-09-15,FALSE,6219.24
52849,2020-09-03 16:35:45.339 UTC,Guardian,bid_submitted,2020-11-03,FALSE,6596.16
52851,2020-09-03 16:35:47.543 UTC,Mutual Of Omaha,bid_submitted,2020-11-11,FALSE,5276.88
52852,2020-09-03 16:35:48.625 UTC,Standard,bid_submitted,2020-09-16,FALSE,5766.84
52853,2020-09-03 16:35:49.716 UTC,Sun Life,bid_submitted,2020-09-17,FALSE,5955.36
52847,2020-09-03 16:35:43.076 UTC,Blue Cross Blue Shield,no_response,,FALSE,
52850,2020-09-03 16:35:46.441 UTC,MetLife,no_response,,FALSE,
52836,2020-09-03 16:35:32.438 UTC,Principal,bid_submitted,2020-09-21,FALSE,21735.24
52837,2020-09-03 16:35:33.343 UTC,UnitedHealthcare,bid_submitted,2020-09-25,FALSE,22393.92
52839,2020-09-03 16:35:35.215 UTC,Lincoln,bid_submitted,2020-09-15,FALSE,14490.12
52840,2020-09-03 16:35:36.158 UTC,Guardian,bid_submitted,2020-11-03,FALSE,29639.04
52842,2020-09-03 16:35:38.009 UTC,Mutual Of Omaha,bid_submitted,2020-11-11,FALSE,18442.08
52843,2020-09-03 16:35:38.914 UTC,Standard,bid_submitted,2020-11-11,FALSE,21932.88
52844,2020-09-03 16:35:39.852 UTC,Sun Life,bid_submitted,2020-09-17,FALSE,19956.96
52838,2020-09-03 16:35:34.283 UTC,Blue Cross Blue Shield,no_response,,FALSE,
52841,2020-09-03 16:35:37.070 UTC,MetLife,no_response,,FALSE,
52822,2020-09-03 16:35:21.306 UTC,Principal,bid_submitted,2020-09-22,FALSE,16123.8
52823,2020-09-03 16:35:22.306 UTC,UnitedHealthcare,bid_submitted,2020-09-25,FALSE,16199.28
52827,2020-09-03 16:35:25.202 UTC,Lincoln,bid_submitted,2020-09-15,FALSE,13562.04
52829,2020-09-03 16:35:26.742 UTC,Guardian,bid_submitted,2020-11-03,FALSE,22226.88
52833,2020-09-03 16:35:29.629 UTC,Mutual Of Omaha,bid_submitted,2020-11-11,FALSE,11301.84
52834,2020-09-03 16:35:30.572 UTC,Standard,bid_submitted,2020-09-16,FALSE,18308.88
52835,2020-09-03 16:35:31.512 UTC,Sun Life,bid_submitted,2020-09-17,FALSE,17856.84
52825,2020-09-03 16:35:23.822 UTC,Blue Cross Blue Shield,no_response,,FALSE,
52831,2020-09-03 16:35:28.129 UTC,MetLife,no_response,,FALSE,
52819,2020-09-03 16:35:19.024 UTC,Mutual Of Omaha,decline_to_bid,2020-09-22,FALSE,
52821,2020-09-03 16:35:20.554 UTC,Sun Life,decline_to_bid,2020-09-17,FALSE,
52813,2020-09-03 16:35:14.377 UTC,Principal,bid_submitted,2020-09-22,FALSE,65197.2
52816,2020-09-03 16:35:16.659 UTC,Lincoln,bid_submitted,2020-09-15,FALSE,59411.4
52817,2020-09-03 16:35:17.426 UTC,Guardian,bid_submitted,2020-11-03,TRUE,68824.32
52820,2020-09-03 16:35:19.782 UTC,Standard,bid_submitted,2020-09-15,FALSE,60139.32
52814,2020-09-03 16:35:15.187 UTC,Blue Cross Blue Shield,no_response,,FALSE,
52815,2020-09-03 16:35:15.928 UTC,Delta Dental,no_response,,FALSE,
52818,2020-09-03 16:35:18.252 UTC,MetLife,no_response,,FALSE,
52861,2020-09-03 16:35:53.760 UTC,Sun Life,decline_to_bid,2020-09-17,FALSE,
52854,2020-09-03 16:35:50.624 UTC,Principal,bid_submitted,2020-09-21,FALSE,6217.92
52856,2020-09-03 16:35:51.525 UTC,Lincoln,bid_submitted,2020-09-15,FALSE,6830.52
52857,2020-09-03 16:35:51.980 UTC,Guardian,bid_submitted,2020-11-03,FALSE,6596.64
52859,2020-09-03 16:35:52.869 UTC,Mutual Of Omaha,bid_submitted,2020-09-22,FALSE,5936.88
52860,2020-09-03 16:35:53.317 UTC,Standard,bid_submitted,2020-11-10,FALSE,5607.24
52855,2020-09-03 16:35:51.074 UTC,Blue Cross Blue Shield,no_response,,FALSE,
52858,2020-09-03 16:35:52.423 UTC,MetLife,no_response,,FALSE,
55734,2020-09-16 18:10:44.528 UTC,Guardian,decline_to_bid,2021-01-14,FALSE,
55733,2020-09-16 18:10:44.088 UTC,Principal,bid_submitted,2020-09-30,FALSE,
55735,2020-09-16 18:10:44.950 UTC,MetLife,bid_submitted,2020-10-14,FALSE,
55736,2020-09-16 18:10:45.399 UTC,Sun Life,bid_submitted,2020-09-29,FALSE,
55737,2020-09-16 18:10:45.804 UTC,VSP,bid_submitted,2021-01-14,TRUE,
55750,2020-09-16 18:20:05.437 UTC,EyeMed,bid_submitted,2020-09-18,FALSE,
53099,2020-09-03 20:56:55.061 UTC,Sun Life,decline_to_bid,2020-09-10,FALSE,
58882,2020-10-04 17:50:26.588 UTC,Guardian,bid_submitted,2020-10-05,TRUE,67282.8
53094,2020-09-03 20:56:47.252 UTC,Principal,bid_submitted,2020-09-10,FALSE,58487.4
53095,2020-09-03 20:56:48.845 UTC,Lincoln,bid_submitted,2020-09-16,FALSE,55975.92
53097,2020-09-03 20:56:51.783 UTC,MetLife,bid_submitted,2020-09-18,FALSE,9435.24
53098,2020-09-03 20:56:53.286 UTC,Standard,bid_submitted,2020-09-10,FALSE,50704.32
53100,2020-09-03 20:56:56.563 UTC,Unum,bid_submitted,2020-09-09,FALSE,45040.32
60512,2020-10-14 18:09:04.617 UTC,Delta Dental,bid_submitted,2020-10-16,FALSE,
55729,2020-09-16 18:10:41.548 UTC,Principal,bid_submitted,2020-09-30,FALSE,
55730,2020-09-16 18:10:42.254 UTC,Guardian,bid_submitted,2021-01-14,TRUE,
55731,2020-09-16 18:10:42.913 UTC,MetLife,bid_submitted,2020-10-14,FALSE,
55732,2020-09-16 18:10:43.546 UTC,Sun Life,bid_submitted,2020-09-29,FALSE,
55738,2020-09-16 18:10:46.503 UTC,Principal,bid_submitted,2020-09-30,FALSE,
55739,2020-09-16 18:10:47.711 UTC,Guardian,bid_submitted,2021-01-14,TRUE,
55740,2020-09-16 18:10:49.082 UTC,MetLife,bid_submitted,2020-10-14,FALSE,
55741,2020-09-16 18:10:50.282 UTC,Sun Life,bid_submitted,2020-09-29,FALSE,
55742,2020-09-16 18:10:51.467 UTC,Principal,bid_submitted,2020-09-30,FALSE,
55743,2020-09-16 18:10:52.658 UTC,Guardian,bid_submitted,2021-01-14,TRUE,
55744,2020-09-16 18:10:53.827 UTC,MetLife,bid_submitted,2020-10-14,FALSE,
55745,2020-09-16 18:10:55.043 UTC,Sun Life,no_response,,FALSE,
55746,2020-09-16 18:10:56.199 UTC,Principal,bid_submitted,2020-09-30,FALSE,
55747,2020-09-16 18:10:57.281 UTC,Guardian,bid_submitted,2021-01-14,TRUE,
55748,2020-09-16 18:10:58.346 UTC,MetLife,bid_submitted,2020-10-14,FALSE,
55749,2020-09-16 18:10:59.423 UTC,Sun Life,bid_submitted,2020-09-29,FALSE,
57046,2020-09-22 16:07:38.654 UTC,Standard,bid_submitted,2020-10-02,FALSE,
52805,2020-09-03 15:46:03.409 UTC,Guardian,bid_submitted,2020-09-15,FALSE,
57045,2020-09-22 16:07:38.349 UTC,Standard,bid_submitted,2020-10-02,TRUE,
